"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"21.10.2019 07:45 - 21.10.2019 08:00","72","57","17","3536","2299","1842","9884","6708","4952"
"21.10.2019 08:00 - 21.10.2019 08:15","416","310","118","3638","2407","1951","9972","6786","4975"
"21.10.2019 08:15 - 21.10.2019 08:30","984","806","347","3753","2565","2101","9942","6783","4842"
"21.10.2019 08:30 - 21.10.2019 08:45","1644","1429","615","3867","2712","2312","9910","6895","4996"
"21.10.2019 08:45 - 21.10.2019 09:00","2402","2154","955","3978","2857","2527","9889","6985","4951"
"21.10.2019 09:00 - 21.10.2019 09:15","3191","2911","1315","4073","2990","2738","9896","6939","4739"
"21.10.2019 09:15 - 21.10.2019 09:30","4003","3678","1686","4140","3095","2910","9821","6800","4614"
"21.10.2019 09:30 - 21.10.2019 09:45","4837","4465","2105","4203","3204","2389","9761","6658","5240"
"21.10.2019 09:45 - 21.10.2019 10:00","5679","5261","2379","4266","3307","2439","9707","6506","5050"
"21.10.2019 10:00 - 21.10.2019 10:15","6481","6030","2766","4317","3402","3111","9653","6380","4295"
"21.10.2019 10:15 - 21.10.2019 10:30","7250","6787","3138","4353","3452","3085","9580","6278","4412"
"21.10.2019 10:30 - 21.10.2019 10:45","7962","7497","3528","4387","3493","3028","9514","6190","4578"
"21.10.2019 10:45 - 21.10.2019 11:00","8674","8178","3859","4419","3535","3097","9455","6098","4532"
"21.10.2019 11:00 - 21.10.2019 11:15","9279","8791","4174","4450","3571","3295","9398","6013","4502"
"21.10.2019 11:15 - 21.10.2019 11:30","9810","9350","4363","4431","3547","3396","9297","5933","4477"
"21.10.2019 11:30 - 21.10.2019 11:45","10236","9824","4679","4409","3529","3207","9196","5855","4279"
"21.10.2019 11:45 - 21.10.2019 12:00","10653","10249","4930","4375","3510","2913","9098","5774","4131"
"21.10.2019 12:00 - 21.10.2019 12:15","10946","10597","5137","4325","3476","2778","9014","5709","4025"
"21.10.2019 12:15 - 21.10.2019 12:30","11150","10892","5391","4228","3408","2696","8988","5648","4162"
"21.10.2019 12:30 - 21.10.2019 12:45","11223","11014","5549","4128","3342","2542","8956","5589","4254"
"21.10.2019 12:45 - 21.10.2019 13:00","11259","11087","5660","3960","3272","2409","8923","5532","4035"
"21.10.2019 13:00 - 21.10.2019 13:15","11156","11059","5913","3852","3190","2216","8866","5482","3963"
"21.10.2019 13:15 - 21.10.2019 13:30","10942","10931","5935","3744","3063","2073","8793","5436","3858"
"21.10.2019 13:30 - 21.10.2019 13:45","10648","10729","6090","3630","2937","2019","8724","5389","3719"
"21.10.2019 13:45 - 21.10.2019 14:00","10337","10505","6296","3511","2809","1852","8650","5347","3553"
"21.10.2019 14:00 - 21.10.2019 14:15","9930","10422","6229","3361","2794","1622","8568","5966","3437"
"21.10.2019 14:15 - 21.10.2019 14:30","9476","9987","6012","3228","2682","1541","8475","5888","3407"
"21.10.2019 14:30 - 21.10.2019 14:45","8985","9461","5873","3093","2569","1153","8385","5815","3586"
"21.10.2019 14:45 - 21.10.2019 15:00","8405","8896","5527","2961","2452","1274","8299","5748","3347"
"21.10.2019 15:00 - 21.10.2019 15:15","7780","8267","5207","2842","2348","1086","8214","5702","3352"
"21.10.2019 15:15 - 21.10.2019 15:30","7110","7586","4823","2747","2252","994","8141","5634","3313"
"21.10.2019 15:30 - 21.10.2019 15:45","6388","6842","4455","2662","2155","1057","8065","5568","3483"
"21.10.2019 15:45 - 21.10.2019 16:00","5682","6066","3983","2577","2058","782","7997","5506","3220"
"21.10.2019 16:00 - 21.10.2019 16:15","4954","5267","3513","2503","1977","582","7948","5454","3210"
"21.10.2019 16:15 - 21.10.2019 16:30","4207","4466","3035","2438","1926","563","7938","5410","3063"
"21.10.2019 16:30 - 21.10.2019 16:45","3448","3666","2509","2364","1884","564","7932","5363","2893"
"21.10.2019 16:45 - 21.10.2019 17:00","2718","2888","1993","2304","1841","481","7916","5315","2790"
"21.10.2019 17:00 - 21.10.2019 17:15","2042","2152","1504","2251","1792","466","7908","5290","2729"
"21.10.2019 17:15 - 21.10.2019 17:30","1387","1441","934","2205","1729","488","7999","5341","2776"
"21.10.2019 17:30 - 21.10.2019 17:45","812","848","504","2168","1670","353","8085","5382","2987"
"21.10.2019 17:45 - 21.10.2019 18:00","398","406","181","2125","1607","333","8177","5429","3059"
"21.10.2019 18:00 - 21.10.2019 18:15","181","179","35","2087","1533","333","8271","5505","3155"
"21.10.2019 18:15 - 21.10.2019 18:30","4","4","3","2069","1448","379","8390","5605","3240"
"21.10.2019 18:30 - 21.10.2019 18:45","0","0","0","2053","1361","373","8510","5711","3477"
"21.10.2019 18:45 - 21.10.2019 19:00","0","0","0","2039","1276","410","8633","5820","3510"
"21.10.2019 19:00 - 21.10.2019 19:15","0","0","0","2025","1207","581","8776","5912","3511"
"21.10.2019 19:15 - 21.10.2019 19:30","0","0","0","2010","1151","588","8937","6027","3658"
"21.10.2019 19:30 - 21.10.2019 19:45","0","0","0","1995","1099","538","9100","6145","3768"
"21.10.2019 19:45 - 21.10.2019 20:00","0","0","0","1980","1051","524","9267","6263","3873"
"21.10.2019 20:00 - 21.10.2019 20:15","0","0","0","1975","1017","485","9420","6392","4078"
"21.10.2019 20:15 - 21.10.2019 20:30","0","0","0","1968","1023","472","9437","6470","4159"
"21.10.2019 20:30 - 21.10.2019 20:45","0","0","0","1959","1031","390","9460","6547","4191"
"21.10.2019 20:45 - 21.10.2019 21:00","0","0","0","1955","1041","420","9483","6629","4201"
"21.10.2019 21:00 - 21.10.2019 21:15","0","0","0","1949","1049","526","9516","6752","4343"
"21.10.2019 21:15 - 21.10.2019 21:30","0","0","0","1946","1063","611","9499","6835","4448"
"21.10.2019 21:30 - 21.10.2019 21:45","0","0","0","1937","1077","739","9484","6922","4515"
"21.10.2019 21:45 - 21.10.2019 22:00","0","0","0","1931","1093","836","9462","7003","4629"
"21.10.2019 22:00 - 21.10.2019 22:15","0","0","0","1922","1119","931","9372","7049","4768"
"21.10.2019 22:15 - 21.10.2019 22:30","0","0","0","1936","1153","1024","9363","7113","5018"
"21.10.2019 22:30 - 21.10.2019 22:45","0","0","0","1951","1187","1094","9347","7176","5238"
"21.10.2019 22:45 - 21.10.2019 23:00","0","0","0","1964","1220","1218","9343","7240","5334"
"21.10.2019 23:00 - 21.10.2019 23:15","0","0","0","1975","1252","1395","9352","7306","5535"
"21.10.2019 23:15 - 21.10.2019 23:30","0","0","0","1972","1285","1500","9325","7308","5433"
"21.10.2019 23:30 - 21.10.2019 23:45","0","0","0","1967","1313","1582","9305","7317","5233"
"21.10.2019 23:45 - 22.10.2019 00:00","0","0","0","1963","1346","1606","9293","7329","5154"
"22.10.2019 00:00 - 22.10.2019 00:15","0","0","0","1220","1828","1581","6627","6766","4981"
"22.10.2019 00:15 - 22.10.2019 00:30","0","0","0","1250","1867","1622","6660","6847","5096"
"22.10.2019 00:30 - 22.10.2019 00:45","0","0","0","1280","1809","1576","6689","6886","5179"
"22.10.2019 00:45 - 22.10.2019 01:00","0","0","0","1309","1861","1632","6720","6963","5194"
"22.10.2019 01:00 - 22.10.2019 01:15","0","0","0","1326","1882","1666","6758","6986","5200"
"22.10.2019 01:15 - 22.10.2019 01:30","0","0","0","1342","1867","1685","6790","6899","5167"
"22.10.2019 01:30 - 22.10.2019 01:45","0","0","0","1354","1825","1672","6827","6852","5145"
"22.10.2019 01:45 - 22.10.2019 02:00","0","0","0","1368","1791","1641","6860","6831","5162"
"22.10.2019 02:00 - 22.10.2019 02:15","0","0","0","1390","1759","1639","6870","6816","5163"
"22.10.2019 02:15 - 22.10.2019 02:30","0","0","0","1422","1724","1622","6804","6752","5178"
"22.10.2019 02:30 - 22.10.2019 02:45","0","0","0","1453","1685","1595","6741","6720","5217"
"22.10.2019 02:45 - 22.10.2019 03:00","0","0","0","1485","1673","1582","6677","6642","5221"
"22.10.2019 03:00 - 22.10.2019 03:15","0","0","0","1500","1649","1566","6677","6578","5229"
"22.10.2019 03:15 - 22.10.2019 03:30","0","0","0","1495","1635","1558","6598","6525","5217"
"22.10.2019 03:30 - 22.10.2019 03:45","0","0","0","1488","1604","1521","6527","6468","5231"
"22.10.2019 03:45 - 22.10.2019 04:00","0","0","0","1479","1570","1490","6459","6431","5231"
"22.10.2019 04:00 - 22.10.2019 04:15","0","0","0","1477","1558","1466","6383","6398","5229"
"22.10.2019 04:15 - 22.10.2019 04:30","0","0","0","1465","1530","1450","6325","6368","5205"
"22.10.2019 04:30 - 22.10.2019 04:45","0","0","0","1451","1510","1436","6270","6322","5202"
"22.10.2019 04:45 - 22.10.2019 05:00","0","0","0","1442","1245","1161","6212","6457","5390"
"22.10.2019 05:00 - 22.10.2019 05:15","0","0","0","1430","1674","1591","6150","6079","5102"
"22.10.2019 05:15 - 22.10.2019 05:30","0","0","0","1448","1741","1638","6086","6128","5120"
"22.10.2019 05:30 - 22.10.2019 05:45","0","0","0","1463","1786","1672","6025","6041","5072"
"22.10.2019 05:45 - 22.10.2019 06:00","0","0","0","1480","1844","1716","5966","5975","5025"
"22.10.2019 06:00 - 22.10.2019 06:15","0","0","0","1497","1920","1764","5968","5987","5046"
"22.10.2019 06:15 - 22.10.2019 06:30","0","0","0","1497","1935","1786","5969","6068","5119"
"22.10.2019 06:30 - 22.10.2019 06:45","0","0","0","1497","1956","1754","5963","6070","5143"
"22.10.2019 06:45 - 22.10.2019 07:00","0","0","0","1500","1987","1723","5957","6113","5153"
"22.10.2019 07:00 - 22.10.2019 07:15","0","0","0","1500","1999","1705","5938","6163","5103"
"22.10.2019 07:15 - 22.10.2019 07:30","0","0","0","1492","1829","1571","5916","6208","5015"
"22.10.2019 07:30 - 22.10.2019 07:45","1","1","0","1489","1767","1461","5891","6232","4987"
"22.10.2019 07:45 - 22.10.2019 08:00","49","43","10","1484","1744","1394","5864","6261","4971"
"22.10.2019 08:00 - 22.10.2019 08:15","319","301","103","1480","1659","1385","5829","6300","4951"
"22.10.2019 08:15 - 22.10.2019 08:30","792","831","356","1475","1650","1304","5801","6300","4843"
"22.10.2019 08:30 - 22.10.2019 08:45","1454","1520","676","1473","1603","1221","5765","6206","4629"
"22.10.2019 08:45 - 22.10.2019 09:00","2280","2364","1076","1472","1556","1032","5728","6107","4529"
"22.10.2019 09:00 - 22.10.2019 09:15","3229","3304","1521","1470","1510","908","5714","6045","4343"
"22.10.2019 09:15 - 22.10.2019 09:30","4235","4270","2043","1454","1473","860","5579","5969","4343"
"22.10.2019 09:30 - 22.10.2019 09:45","5309","5304","2548","1440","1432","865","5441","5893","4551"
"22.10.2019 09:45 - 22.10.2019 10:00","6418","6317","3062","1429","1391","878","5297","5817","4637"
"22.10.2019 10:00 - 22.10.2019 10:15","7508","7313","3542","1420","1359","881","5186","5728","4750"
"22.10.2019 10:15 - 22.10.2019 10:30","8554","8281","4012","1401","1366","888","5175","5622","4630"
"22.10.2019 10:30 - 22.10.2019 10:45","9537","9202","4484","1381","1352","772","5200","5524","4421"
"22.10.2019 10:45 - 22.10.2019 11:00","10426","10079","4865","1363","1340","730","5200","5438","4297"
"22.10.2019 11:00 - 22.10.2019 11:15","11216","10887","5198","1358","1338","695","5130","5352","4301"
"22.10.2019 11:15 - 22.10.2019 11:30","11929","11590","5449","1383","1357","730","5075","5236","4118"
"22.10.2019 11:30 - 22.10.2019 11:45","12519","12197","5753","1404","1370","706","5025","5131","4071"
"22.10.2019 11:45 - 22.10.2019 12:00","13062","12733","5994","1431","1387","735","4971","5033","3931"
"22.10.2019 12:00 - 22.10.2019 12:15","13486","13168","6201","1458","1422","813","4914","4925","3920"
"22.10.2019 12:15 - 22.10.2019 12:30","13801","13448","6387","1488","1478","942","4858","4793","3925"
"22.10.2019 12:30 - 22.10.2019 12:45","13993","13588","6500","1519","1538","1149","4802","4663","3804"
"22.10.2019 12:45 - 22.10.2019 13:00","14147","13730","6503","1553","1601","1245","4745","4525","3661"
"22.10.2019 13:00 - 22.10.2019 13:15","14138","13784","6513","1598","1664","1384","4688","4396","3565"
"22.10.2019 13:15 - 22.10.2019 13:30","14047","13745","6444","1650","1756","1481","4634","4279","3319"
"22.10.2019 13:30 - 22.10.2019 13:45","13839","13577","6398","1706","1847","1522","4577","4176","3158"
"22.10.2019 13:45 - 22.10.2019 14:00","13582","13349","6268","1765","1935","1588","4514","4073","2955"
"22.10.2019 14:00 - 22.10.2019 14:15","13219","13074","5996","1821","1984","1685","4444","4422","2860"
"22.10.2019 14:15 - 22.10.2019 14:30","12737","12649","5487","1874","2070","1826","4307","4261","2837"
"22.10.2019 14:30 - 22.10.2019 14:45","12162","12065","5274","1927","2154","1985","4173","4106","2740"
"22.10.2019 14:45 - 22.10.2019 15:00","11498","11465","5014","1978","2243","2173","4045","3950","2630"
"22.10.2019 15:00 - 22.10.2019 15:15","10787","10761","4725","2023","2322","2258","3915","3848","2666"
"22.10.2019 15:15 - 22.10.2019 15:30","9966","9960","4453","2068","2394","2338","3763","3697","2594"
"22.10.2019 15:30 - 22.10.2019 15:45","9047","9069","4117","2115","2468","2355","3605","3541","2537"
"22.10.2019 15:45 - 22.10.2019 16:00","8086","8131","3702","2159","2543","2345","3455","3386","2438"
"22.10.2019 16:00 - 22.10.2019 16:15","7083","7134","3275","2210","2609","2354","3311","3241","2280"
"22.10.2019 16:15 - 22.10.2019 16:30","6034","6072","2837","2256","2659","2410","3175","3116","2220"
"22.10.2019 16:30 - 22.10.2019 16:45","4947","4976","2376","2309","2713","2581","3032","2990","2004"
"22.10.2019 16:45 - 22.10.2019 17:00","3903","3920","1896","2363","2767","2655","2893","2871","1905"
"22.10.2019 17:00 - 22.10.2019 17:15","2910","2905","1446","2409","2822","2674","2792","2774","1924"
"22.10.2019 17:15 - 22.10.2019 17:30","1936","1918","948","2396","2839","2683","2781","2762","1886"
"22.10.2019 17:30 - 22.10.2019 17:45","1110","1082","525","2380","2851","2697","2775","2749","1789"
"22.10.2019 17:45 - 22.10.2019 18:00","486","462","201","2363","2863","2698","2773","2738","1642"
"22.10.2019 18:00 - 22.10.2019 18:15","131","121","41","2350","2875","2803","2779","2749","1498"
"22.10.2019 18:15 - 22.10.2019 18:30","4","4","3","2341","2875","2820","2788","2781","1526"
"22.10.2019 18:30 - 22.10.2019 18:45","0","0","0","2329","2871","2834","2803","2821","1666"
"22.10.2019 18:45 - 22.10.2019 19:00","0","0","0","2321","2863","2861","2821","2868","1781"
"22.10.2019 19:00 - 22.10.2019 19:15","0","0","0","2312","2850","2896","2854","2935","1970"
"22.10.2019 19:15 - 22.10.2019 19:30","0","0","0","2316","2850","2866","2919","3034","2115"
"22.10.2019 19:30 - 22.10.2019 19:45","0","0","0","2318","2845","2792","2988","3140","2206"
"22.10.2019 19:45 - 22.10.2019 20:00","0","0","0","2322","2841","2699","3061","3242","2183"
"22.10.2019 20:00 - 22.10.2019 20:15","0","0","0","2325","2841","2621","3138","3329","2095"
"22.10.2019 20:15 - 22.10.2019 20:30","0","0","0","2333","2843","2601","3205","3377","2113"
"22.10.2019 20:30 - 22.10.2019 20:45","0","0","0","2345","2842","2561","3267","3427","2158"
"22.10.2019 20:45 - 22.10.2019 21:00","0","0","0","2350","2842","2496","3340","3480","2146"
"22.10.2019 21:00 - 22.10.2019 21:15","0","0","0","2353","2841","2456","3407","3535","2201"
"22.10.2019 21:15 - 22.10.2019 21:30","0","0","0","2336","2814","2417","3454","3578","2221"
"22.10.2019 21:30 - 22.10.2019 21:45","0","0","0","2320","2787","2394","3499","3622","2269"
"22.10.2019 21:45 - 22.10.2019 22:00","0","0","0","2304","2762","2447","3544","3665","2268"
"22.10.2019 22:00 - 22.10.2019 22:15","0","0","0","2288","2728","2444","3574","3692","2287"
"22.10.2019 22:15 - 22.10.2019 22:30","0","0","0","2265","2691","2456","3604","3697","2403"
"22.10.2019 22:30 - 22.10.2019 22:45","0","0","0","2246","2654","2489","3626","3703","2481"
"22.10.2019 22:45 - 22.10.2019 23:00","0","0","0","2224","2621","2481","3654","3705","2485"
"22.10.2019 23:00 - 22.10.2019 23:15","0","0","0","2192","2583","2447","3699","3720","2497"
"22.10.2019 23:15 - 22.10.2019 23:30","0","0","0","2148","2518","2431","3690","3681","2451"
"22.10.2019 23:30 - 22.10.2019 23:45","0","0","0","2104","2454","2338","3682","3647","2372"
"22.10.2019 23:45 - 23.10.2019 00:00","0","0","0","2058","2388","2226","3683","3622","2326"
"23.10.2019 00:00 - 23.10.2019 00:15","0","0","0","2456","2713","2171","3317","3826","2244"
"23.10.2019 00:15 - 23.10.2019 00:30","0","0","0","2402","2677","2149","3271","3779","2282"
"23.10.2019 00:30 - 23.10.2019 00:45","0","0","0","2343","2614","2103","3233","3741","2278"
"23.10.2019 00:45 - 23.10.2019 01:00","0","0","0","2288","2526","2086","3196","3686","2263"
"23.10.2019 01:00 - 23.10.2019 01:15","0","0","0","2228","2488","2075","3179","3617","2257"
"23.10.2019 01:15 - 23.10.2019 01:30","0","0","0","2165","2472","2035","3181","3422","2161"
"23.10.2019 01:30 - 23.10.2019 01:45","0","0","0","2103","2388","1961","3187","3370","2146"
"23.10.2019 01:45 - 23.10.2019 02:00","0","0","0","2034","1926","1495","3199","3781","2587"
"23.10.2019 02:00 - 23.10.2019 02:15","0","0","0","1973","2241","1802","3190","3351","2155"
"23.10.2019 02:15 - 23.10.2019 02:30","0","0","0","1923","2145","1712","3168","3294","2142"
"23.10.2019 02:30 - 23.10.2019 02:45","0","0","0","1878","2037","1631","3141","3293","2155"
"23.10.2019 02:45 - 23.10.2019 03:00","0","0","0","1827","1974","1573","3124","3289","2136"
"23.10.2019 03:00 - 23.10.2019 03:15","0","0","0","1776","1946","1545","3110","3230","2111"
"23.10.2019 03:15 - 23.10.2019 03:30","0","0","0","1720","1875","1517","3073","3271","2137"
"23.10.2019 03:30 - 23.10.2019 03:45","0","0","0","1662","1803","1450","3039","3258","2158"
"23.10.2019 03:45 - 23.10.2019 04:00","0","0","0","1608","1781","1437","3002","3168","2070"
"23.10.2019 04:00 - 23.10.2019 04:15","0","0","0","1553","1714","1377","2989","3113","2012"
"23.10.2019 04:15 - 23.10.2019 04:30","0","0","0","1510","1661","1325","2991","3204","2104"
"23.10.2019 04:30 - 23.10.2019 04:45","0","0","0","1466","1523","1203","3000","3292","2198"
"23.10.2019 04:45 - 23.10.2019 05:00","0","0","0","1424","1509","1190","3011","3298","2205"
"23.10.2019 05:00 - 23.10.2019 05:15","0","0","0","1384","1436","1178","3033","3302","2227"
"23.10.2019 05:15 - 23.10.2019 05:30","0","0","0","1335","1347","1132","3105","3318","2251"
"23.10.2019 05:30 - 23.10.2019 05:45","0","0","0","1285","1303","1116","3182","3375","2323"
"23.10.2019 05:45 - 23.10.2019 06:00","0","0","0","1236","1207","1058","3265","3410","2343"
"23.10.2019 06:00 - 23.10.2019 06:15","0","0","0","1189","1161","1047","3314","3492","2418"
"23.10.2019 06:15 - 23.10.2019 06:30","0","0","0","1150","1119","1027","3390","3580","2488"
"23.10.2019 06:30 - 23.10.2019 06:45","0","0","0","1108","1152","1084","3472","3617","2531"
"23.10.2019 06:45 - 23.10.2019 07:00","0","0","0","1069","1173","1120","3546","3712","2602"
"23.10.2019 07:00 - 23.10.2019 07:15","0","0","0","1035","1197","1145","3615","3844","2684"
"23.10.2019 07:15 - 23.10.2019 07:30","0","0","0","1002","1203","1157","3714","3903","2710"
"23.10.2019 07:30 - 23.10.2019 07:45","0","0","0","974","1204","1156","3811","3923","2702"
"23.10.2019 07:45 - 23.10.2019 08:00","29","29","9","942","1147","1132","3910","3971","2811"
"23.10.2019 08:00 - 23.10.2019 08:15","231","235","71","919","1099","1041","3989","4039","2886"
"23.10.2019 08:15 - 23.10.2019 08:30","584","568","247","916","1070","993","3922","4037","3036"
"23.10.2019 08:30 - 23.10.2019 08:45","1011","1111","478","908","1036","951","3857","4050","3061"
"23.10.2019 08:45 - 23.10.2019 09:00","1589","1806","779","905","1008","933","3784","4075","3078"
"23.10.2019 09:00 - 23.10.2019 09:15","2338","2594","1162","892","987","840","3679","4029","3069"
"23.10.2019 09:15 - 23.10.2019 09:30","3190","3489","1619","875","958","799","3548","3950","2979"
"23.10.2019 09:30 - 23.10.2019 09:45","4129","4429","2099","860","935","754","3420","3866","2948"
"23.10.2019 09:45 - 23.10.2019 10:00","5122","5454","2458","842","915","703","3299","3784","2895"
"23.10.2019 10:00 - 23.10.2019 10:15","6105","6448","2943","827","891","735","3183","3702","2888"
"23.10.2019 10:15 - 23.10.2019 10:30","7088","7466","3469","817","870","738","3057","3550","2817"
"23.10.2019 10:30 - 23.10.2019 10:45","8038","8447","3996","801","849","736","2938","3404","2759"
"23.10.2019 10:45 - 23.10.2019 11:00","8992","9433","4529","787","826","727","2822","3262","2731"
"23.10.2019 11:00 - 23.10.2019 11:15","9887","10345","4968","770","798","760","2720","3136","2710"
"23.10.2019 11:15 - 23.10.2019 11:30","10744","11231","5191","740","769","736","2665","3042","2649"
"23.10.2019 11:30 - 23.10.2019 11:45","11462","12021","5683","707","747","703","2615","2943","2568"
"23.10.2019 11:45 - 23.10.2019 12:00","12144","12764","6091","677","720","635","2568","2853","2560"
"23.10.2019 12:00 - 23.10.2019 12:15","12731","13404","6482","649","690","555","2524","2772","2566"
"23.10.2019 12:15 - 23.10.2019 12:30","13220","13963","6882","624","666","495","2485","2719","2460"
"23.10.2019 12:30 - 23.10.2019 12:45","13605","14358","7153","604","640","401","2437","2662","2363"
"23.10.2019 12:45 - 23.10.2019 13:00","13924","14741","7406","582","616","371","2390","2609","2245"
"23.10.2019 13:00 - 23.10.2019 13:15","14114","14977","7573","561","588","312","2343","2562","2194"
"23.10.2019 13:15 - 23.10.2019 13:30","14244","15113","7554","536","558","288","2289","2525","2167"
"23.10.2019 13:30 - 23.10.2019 13:45","14239","15104","7492","510","531","241","2238","2485","2140"
"23.10.2019 13:45 - 23.10.2019 14:00","14155","15007","7347","482","500","265","2190","2451","2075"
"23.10.2019 14:00 - 23.10.2019 14:15","13947","14743","7133","462","422","257","2144","2384","2001"
"23.10.2019 14:15 - 23.10.2019 14:30","13672","14377","6875","442","400","262","2218","2453","2075"
"23.10.2019 14:30 - 23.10.2019 14:45","13237","13825","6715","423","383","256","2294","2521","2180"
"23.10.2019 14:45 - 23.10.2019 15:00","12647","13226","6557","402","362","233","2376","2595","2233"
"23.10.2019 15:00 - 23.10.2019 15:15","11977","12485","6277","385","345","231","2467","2681","2235"
"23.10.2019 15:15 - 23.10.2019 15:30","11166","11632","5929","372","341","234","2597","2784","2255"
"23.10.2019 15:30 - 23.10.2019 15:45","10221","10616","5470","358","332","260","2726","2893","2328"
"23.10.2019 15:45 - 23.10.2019 16:00","9190","9530","4965","351","326","263","2853","3002","2376"
"23.10.2019 16:00 - 23.10.2019 16:15","8058","8327","4402","349","331","268","2995","3123","2400"
"23.10.2019 16:15 - 23.10.2019 16:30","6848","7075","3750","346","341","291","3183","3287","2494"
"23.10.2019 16:30 - 23.10.2019 16:45","5588","5741","3125","339","358","313","3379","3448","2600"
"23.10.2019 16:45 - 23.10.2019 17:00","4408","4498","2466","340","373","349","3569","3615","2666"
"23.10.2019 17:00 - 23.10.2019 17:15","3284","3312","1804","354","398","368","3781","3831","2690"
"23.10.2019 17:15 - 23.10.2019 17:30","2218","2180","1136","404","472","406","4260","4358","2907"
"23.10.2019 17:30 - 23.10.2019 17:45","1298","1230","620","459","547","440","4738","4939","3233"
"23.10.2019 17:45 - 23.10.2019 18:00","559","515","223","513","623","496","5223","5541","3498"
"23.10.2019 18:00 - 23.10.2019 18:15","140","139","38","580","708","538","5764","6160","3793"
"23.10.2019 18:15 - 23.10.2019 18:30","3","3","2","662","813","601","6361","6847","4285"
"23.10.2019 18:30 - 23.10.2019 18:45","0","0","0","741","919","700","6970","7534","4889"
"23.10.2019 18:45 - 23.10.2019 19:00","0","0","0","827","1025","771","7582","8221","5381"
"23.10.2019 19:00 - 23.10.2019 19:15","0","0","0","924","1140","864","8181","8944","6010"
"23.10.2019 19:15 - 23.10.2019 19:30","0","0","0","1032","1265","1041","8768","9633","6378"
"23.10.2019 19:30 - 23.10.2019 19:45","0","0","0","1145","1391","1244","9356","10293","6694"
"23.10.2019 19:45 - 23.10.2019 20:00","0","0","0","1260","1525","1363","9941","10941","7123"
"23.10.2019 20:00 - 23.10.2019 20:15","0","0","0","1379","1652","1422","10486","11528","7519"
"23.10.2019 20:15 - 23.10.2019 20:30","0","0","0","1468","1732","1529","10613","11639","7726"
"23.10.2019 20:30 - 23.10.2019 20:45","0","0","0","1559","1814","1666","10736","11751","7800"
"23.10.2019 20:45 - 23.10.2019 21:00","0","0","0","1651","1891","1732","10864","11873","7762"
"23.10.2019 21:00 - 23.10.2019 21:15","0","0","0","1734","1968","1712","10953","11963","7950"
"23.10.2019 21:15 - 23.10.2019 21:30","0","0","0","1789","2033","1751","10993","11956","7880"
"23.10.2019 21:30 - 23.10.2019 21:45","0","0","0","1846","2098","1776","11034","11976","7972"
"23.10.2019 21:45 - 23.10.2019 22:00","0","0","0","1899","2163","1850","11073","11993","8035"
"23.10.2019 22:00 - 23.10.2019 22:15","0","0","0","1949","2229","1833","11050","11918","7798"
"23.10.2019 22:15 - 23.10.2019 22:30","0","0","0","1982","2264","1783","11016","11870","7705"
"23.10.2019 22:30 - 23.10.2019 22:45","0","0","0","2021","2301","1665","10976","11780","7727"
"23.10.2019 22:45 - 23.10.2019 23:00","0","0","0","2061","2337","1561","10935","11695","7567"
"23.10.2019 23:00 - 23.10.2019 23:15","0","0","0","2088","2360","1474","10904","11672","7538"
"23.10.2019 23:15 - 23.10.2019 23:30","0","0","0","2077","2353","1417","10728","11512","7312"
"23.10.2019 23:30 - 23.10.2019 23:45","0","0","0","2061","2351","1356","10558","11355","7159"
"23.10.2019 23:45 - 24.10.2019 00:00","0","0","0","2048","2343","1266","10387","11204","6978"
"24.10.2019 00:00 - 24.10.2019 00:15","0","0","0","1860","1660","1244","10776","10657","6699"
"24.10.2019 00:15 - 24.10.2019 00:30","0","0","0","1870","1565","1168","10556","10178","6355"
"24.10.2019 00:30 - 24.10.2019 00:45","0","0","0","1886","1376","1047","10333","9892","6175"
"24.10.2019 00:45 - 24.10.2019 01:00","0","0","0","1898","1238","946","10120","9521","5908"
"24.10.2019 01:00 - 24.10.2019 01:15","0","0","0","1915","1232","948","9892","9281","5732"
"24.10.2019 01:15 - 24.10.2019 01:30","0","0","0","1959","1202","977","9669","9081","5621"
"24.10.2019 01:30 - 24.10.2019 01:45","0","0","0","1996","1285","1072","9462","8715","5413"
"24.10.2019 01:45 - 24.10.2019 02:00","0","0","0","2043","1372","1104","9252","8333","5182"
"24.10.2019 02:00 - 24.10.2019 02:15","0","0","0","2091","1373","1114","9063","7949","4898"
"24.10.2019 02:15 - 24.10.2019 02:30","0","0","0","2123","1387","1133","8946","7615","4751"
"24.10.2019 02:30 - 24.10.2019 02:45","0","0","0","2160","1318","1057","8828","7358","4646"
"24.10.2019 02:45 - 24.10.2019 03:00","0","0","0","2197","1322","1051","8714","7079","4542"
"24.10.2019 03:00 - 24.10.2019 03:15","0","0","0","2228","1318","1066","8598","6928","4501"
"24.10.2019 03:15 - 24.10.2019 03:30","0","0","0","2260","1330","1090","8494","6801","4427"
